participant_id,image_id,face_view,question_type,response,timestamp
200,Face ID (19),left,trust_rating,3,2025-09-08T10:09:31.354205
200,Face ID (19),left,masc_choice,right,2025-09-08T10:09:31.354205
200,Face ID (19),left,fem_choice,left,2025-09-08T10:09:31.354205
200,Face ID (19),left,emotion_rating,6,2025-09-08T10:09:31.354205
200,Face ID (19),right,trust_rating,2,2025-09-08T10:09:31.354205
200,Face ID (19),right,masc_choice,right,2025-09-08T10:09:31.354205
200,Face ID (19),right,fem_choice,left,2025-09-08T10:09:31.354205
200,Face ID (19),right,emotion_rating,6,2025-09-08T10:09:31.354205
200,Face ID (19),full,trust_rating,9,2025-09-08T10:09:37.966479
200,Face ID (19),full,masc_choice,right,2025-09-08T10:09:37.966479
200,Face ID (19),full,fem_choice,left,2025-09-08T10:09:37.966479
200,Face ID (19),full,emotion_rating,1,2025-09-08T10:09:37.966479
200,1 (135),left,trust_rating,5,2025-09-08T10:09:49.998696
200,1 (135),left,masc_choice,right,2025-09-08T10:09:49.998696
200,1 (135),left,fem_choice,left,2025-09-08T10:09:49.998696
200,1 (135),left,emotion_rating,3,2025-09-08T10:09:49.998696
200,1 (135),right,trust_rating,6,2025-09-08T10:09:49.998696
200,1 (135),right,masc_choice,right,2025-09-08T10:09:49.998696
200,1 (135),right,fem_choice,left,2025-09-08T10:09:49.998696
200,1 (135),right,emotion_rating,4,2025-09-08T10:09:49.998696
200,1 (135),full,trust_rating,4,2025-09-08T10:09:58.666708
200,1 (135),full,masc_choice,right,2025-09-08T10:09:58.666708
200,1 (135),full,fem_choice,left,2025-09-08T10:09:58.666708
200,1 (135),full,emotion_rating,4,2025-09-08T10:09:58.666708
