participant_id,image_id,face_view,question_type,response,timestamp
200,Face ID (25),full,trust_rating,7,2025-08-19T12:00:05.873106
200,Face ID (25),full,masc_choice,left,2025-08-19T12:00:05.873106
200,Face ID (25),full,fem_choice,left,2025-08-19T12:00:05.873106
200,Face ID (25),full,emotion_rating,nan,2025-08-19T12:00:05.873106
200,Face ID (25),full,trust_q2,nan,2025-08-19T12:00:05.873106
200,Face ID (25),full,trust_q3,nan,2025-08-19T12:00:05.873106
200,Face ID (25),full,pers_q1,nan,2025-08-19T12:00:05.873106
200,Face ID (25),full,pers_q2,nan,2025-08-19T12:00:05.873106
200,Face ID (25),full,pers_q3,nan,2025-08-19T12:00:05.873106
200,Face ID (25),full,pers_q4,nan,2025-08-19T12:00:05.873106
200,Face ID (25),full,pers_q5,nan,2025-08-19T12:00:05.873106
200,Face ID (25),left,trust_rating,4,2025-08-20T13:22:41.223987
200,Face ID (25),left,masc_choice,right,2025-08-20T13:22:41.223987
200,Face ID (25),left,fem_choice,left,2025-08-20T13:22:41.223987
200,Face ID (25),left,emotion_rating,7.0,2025-08-20T13:22:41.223987
200,Face ID (25),left,trust_q2,nan,2025-08-20T13:22:41.223987
200,Face ID (25),left,trust_q3,nan,2025-08-20T13:22:41.223987
200,Face ID (25),left,pers_q1,nan,2025-08-20T13:22:41.223987
200,Face ID (25),left,pers_q2,nan,2025-08-20T13:22:41.223987
200,Face ID (25),left,pers_q3,nan,2025-08-20T13:22:41.223987
200,Face ID (25),left,pers_q4,nan,2025-08-20T13:22:41.223987
200,Face ID (25),left,pers_q5,nan,2025-08-20T13:22:41.223987
200,Face ID (25),right,trust_rating,3,2025-08-20T13:22:41.223987
200,Face ID (25),right,masc_choice,right,2025-08-20T13:22:41.223987
200,Face ID (25),right,fem_choice,left,2025-08-20T13:22:41.223987
200,Face ID (25),right,emotion_rating,3.0,2025-08-20T13:22:41.223987
200,Face ID (25),right,trust_q2,nan,2025-08-20T13:22:41.223987
200,Face ID (25),right,trust_q3,nan,2025-08-20T13:22:41.223987
200,Face ID (25),right,pers_q1,nan,2025-08-20T13:22:41.223987
200,Face ID (25),right,pers_q2,nan,2025-08-20T13:22:41.223987
200,Face ID (25),right,pers_q3,nan,2025-08-20T13:22:41.223987
200,Face ID (25),right,pers_q4,nan,2025-08-20T13:22:41.223987
200,Face ID (25),right,pers_q5,nan,2025-08-20T13:22:41.223987
