pid,face_id,version,question,response,timestamp
200,face (11),left,trust_left,9,2025-09-20T10:39:45.063357
200,face (11),left,emotion_left,1,2025-09-20T10:39:45.063357
200,face (11),right,trust_right,9,2025-09-20T10:39:45.063357
200,face (11),right,emotion_right,1,2025-09-20T10:39:45.063357
200,face (11),half,masc_choice_half,right,2025-09-20T10:39:45.063357
200,face (11),half,fem_choice_half,left,2025-09-20T10:39:45.063357
200,face (11),full,trust_full,9,2025-09-20T10:39:45.063357
200,face (11),full,emotion_full,1,2025-09-20T10:39:45.063357
200,face (11),full,masc_choice_full,right,2025-09-20T10:39:45.063357
200,face (11),full,fem_choice_full,left,2025-09-20T10:39:45.063357
