pid,face_id,version,question,response,timestamp
402,face (17),left,trust_left,5,2025-09-19T14:39:14.988049
402,face (17),left,emotion_left,3,2025-09-19T14:39:14.988049
402,face (17),right,trust_right,5,2025-09-19T14:39:14.988049
402,face (17),right,emotion_right,3,2025-09-19T14:39:14.988049
402,face (17),half,masc_choice_half,male,2025-09-19T14:39:14.988049
402,face (17),half,fem_choice_half,female,2025-09-19T14:39:14.988049
402,face (17),full,trust_full,5,2025-09-19T14:39:14.988049
402,face (17),full,emotion_full,3,2025-09-19T14:39:14.988049
402,face (17),full,masc_choice_full,male,2025-09-19T14:39:14.988049
402,face (17),full,fem_choice_full,female,2025-09-19T14:39:14.988049
