pid,face_id,version,trust_rating,emotion_rating,fem_choice,femininity_full,masc_choice,masculinity_full,export_timestamp,data_source
test_001,face_1,both,7,8,right,1,both,2,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_1,left,1,3,right,1,both,2,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_1,right,9,1,right,1,both,2,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_2,both,6,2,both,5,left,8,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_2,left,1,6,both,5,left,8,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_2,right,8,6,both,5,left,8,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_3,both,1,1,neither,2,both,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_3,left,9,6,neither,2,both,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_3,right,2,4,neither,2,both,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_4,both,4,6,right,5,both,7,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_4,left,3,5,right,5,both,7,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_4,right,6,5,right,5,both,7,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_5,both,4,7,right,4,left,5,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_5,left,7,8,right,4,left,5,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_5,right,6,2,right,4,left,5,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_6,both,4,3,neither,7,right,1,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_6,left,9,6,neither,7,right,1,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_6,right,7,1,neither,7,right,1,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_7,both,8,5,both,8,both,6,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_7,left,3,5,both,8,both,6,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_7,right,6,9,both,8,both,6,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_8,both,7,1,neither,8,neither,1,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_8,left,9,3,neither,8,neither,1,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_8,right,6,1,neither,8,neither,1,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_9,both,4,8,left,7,both,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_9,left,7,1,left,7,both,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_9,right,7,8,left,7,both,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_10,both,8,8,left,4,left,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_10,left,7,6,left,4,left,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_10,right,4,4,left,4,left,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_11,both,2,7,neither,7,right,6,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_11,left,3,7,neither,7,right,6,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_11,right,7,7,neither,7,right,6,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
